,2020,2019,2018,2017,2016,2015,2010,2005,2000,1995,1990,1985,1980,1975,1970,1965,1960,1955
Honduras,"9,904,607","9,746,117","9,587,522","9,429,013","9,270,795","9,112,916","8,317,470","7,458,985","6,574,509","5,709,014","4,955,303","4,281,161","3,678,279","3,153,253","2,716,654","2,346,015","2,038,632","1,771,352"
United Arab Emirates,"9,890,402","9,770,529","9,630,959","9,487,203","9,360,980","9,262,900","8,549,988","4,588,225","3,134,062","2,415,090","1,828,432","1,366,164","1,019,509","548,301","234,514","149,857","92,418","79,578"
Hungary,"9,660,351","9,684,679","9,707,499","9,729,823","9,752,975","9,777,923","9,927,370","10,085,937","10,220,507","10,349,302","10,377,137","10,566,323","10,754,286","10,526,780","10,366,105","10,169,799","10,000,994","9,828,494"
Tajikistan,"9,537,645","9,321,018","9,100,835","8,880,268","8,663,579","8,454,028","7,527,394","6,789,321","6,216,341","5,764,810","5,283,814","4,537,822","3,905,446","3,390,941","2,930,107","2,487,976","2,087,049","1,794,416"
Belarus,"9,449,323","9,452,411","9,452,617","9,450,231","9,445,643","9,439,423","9,420,574","9,562,088","9,871,632","10,077,608","10,151,134","9,901,493","9,569,847","9,252,779","8,913,552","8,505,722","8,124,881","7,747,210"
Austria,"9,006,398","8,955,102","8,891,388","8,819,901","8,747,301","8,678,660","8,409,949","8,253,650","8,069,276","7,990,121","7,723,949","7,614,868","7,609,752","7,637,689","7,516,239","7,305,158","7,070,766","6,953,406"
Papua New Guinea,"8,947,024","8,776,109","8,606,323","8,438,036","8,271,762","8,107,775","7,310,507","6,494,903","5,847,586","5,187,060","4,615,839","4,081,030","3,571,205","3,139,945","2,783,121","2,485,437","2,255,859","2,086,247"
Serbia,"8,737,371","8,772,235","8,802,754","8,829,628","8,853,963","8,876,777","8,991,254","9,193,825","9,487,616","9,884,147","9,517,675","9,253,405","8,908,294","8,497,170","8,119,860","7,835,083","7,556,727","7,234,922"
Israel,"8,655,535","8,519,377","8,381,516","8,243,848","8,108,985","7,978,490","7,346,446","6,529,479","5,945,950","5,271,367","4,448,353","4,035,068","3,700,919","3,296,935","2,813,749","2,490,317","2,060,480","1,691,878"
Switzerland,"8,654,622","8,591,365","8,525,611","8,455,804","8,379,917","8,296,775","7,808,675","7,386,816","7,143,761","6,995,521","6,652,868","6,435,424","6,283,832","6,337,025","6,150,852","5,812,851","5,280,680","4,957,066"
Togo,"8,278,724","8,082,366","7,889,093","7,698,474","7,509,951","7,323,158","6,421,679","5,611,640","4,924,402","4,226,291","3,774,312","3,252,994","2,720,839","2,410,446","2,115,522","1,708,630","1,580,513","1,473,839"
